	Season	Age	Tm	Lg	Pos	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	Player
10	2012-13	23	HOU	NBA	PF	54	17	21.4	3.2	7.4	.428	1.4	3.6	.381	1.8	3.8	.471	.520	0.9	1.4	.653	1.2	2.9	4.1	0.9	0.5	0.3	1.0	2.2	8.6	Marcus Morris
11	2012-13	23	PHO	NBA	SF	23	6	16.1	2.2	5.5	.405	0.5	1.7	.308	1.7	3.8	.448	.452	0.7	1.8	.405	0.7	1.8	2.5	0.7	0.8	0.2	1.0	1.7	5.7	Marcus Morris
12	2013-14	24	PHO	NBA	SF	82	1	22.0	3.5	7.9	.442	1.2	3.2	.381	2.3	4.8	.483	.518	1.5	1.9	.761	1.0	2.9	3.9	1.1	0.9	0.2	1.2	1.9	9.7	Marcus Morris
13	2014-15	25	PHO	NBA	PF	81	35	25.2	4.1	9.4	.434	1.4	3.9	.358	2.7	5.6	.487	.507	0.9	1.4	.628	0.9	3.9	4.8	1.6	0.8	0.2	0.9	2.3	10.4	Marcus Morris
14	2015-16	26	DET	NBA	SF	80	80	35.7	5.1	11.8	.434	1.4	3.7	.362	3.8	8.1	.467	.491	2.5	3.4	.749	1.1	3.9	5.1	2.5	0.8	0.3	1.8	2.1	14.1	Marcus Morris
15	2016-17	27	DET	NBA	SF	79	79	32.5	5.3	12.7	.418	1.5	4.5	.331	3.8	8.2	.466	.477	1.8	2.3	.784	1.0	3.7	4.6	2.0	0.7	0.3	1.1	2.1	14.0	Marcus Morris
16	2017-18	28	BOS	NBA	PF	54	21	26.8	4.9	11.3	.429	1.6	4.3	.368	3.3	7.0	.467	.499	2.3	2.9	.805	0.8	4.6	5.4	1.3	0.6	0.2	1.2	1.9	13.6	Marcus Morris
17	2018-19	29	BOS	NBA	PF	10	0	25.5	5.2	10.2	.510	2.4	4.9	.490	2.8	5.3	.528	.627	1.9	2.2	.864	0.8	6.1	6.9	1.0	0.5	0.3	2.0	3.2	14.7	Marcus Morris
18	2015-16	21	BOS	NBA	PG	39	0	8.0	0.7	2.7	.274	0.2	0.7	.222	0.6	2.0	.291	.302	0.2	0.3	.800	0.6	1.0	1.6	0.9	0.2	0.0	0.5	0.6	1.8	Terry Rozier
19	2016-17	22	BOS	NBA	PG	74	0	17.1	2.0	5.6	.367	0.8	2.4	.318	1.3	3.1	.405	.437	0.7	0.9	.773	0.5	2.5	3.1	1.8	0.6	0.1	0.6	0.9	5.5	Terry Rozier
20	2017-18	23	BOS	NBA	PG	80	16	25.9	4.0	10.0	.395	1.9	5.0	.381	2.0	5.0	.410	.491	1.4	1.9	.772	0.8	3.9	4.7	2.9	1.0	0.2	1.0	1.5	11.3	Terry Rozier
