	Season	Age	Tm	Lg	Pos	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	Player
42	2016-17	33	GSW	NBA	SF	76	0	26.3	2.9	5.5	.528	0.8	2.3	.362	2.0	3.1	.651	.605	0.9	1.3	.706	0.7	3.3	4.0	3.4	1.0	0.5	0.8	1.3	7.6	Andre Iguodala
43	2017-18	34	GSW	NBA	SF	64	7	25.3	2.3	5.0	.463	0.5	1.8	.282	1.8	3.2	.567	.514	0.9	1.4	.632	0.8	3.1	3.8	3.3	0.8	0.6	1.0	1.5	6.0	Andre Iguodala
44	2018-19	35	GSW	NBA	SF	9	0	19.0	1.1	3.1	.357	0.2	1.2	.182	0.9	1.9	.471	.393	0.3	0.7	.500	0.4	2.0	2.4	3.0	0.9	0.7	0.9	1.4	2.8	Andre Iguodala
45	2004-05	19	LAC	NBA	PG	30	15	27.1	3.0	7.2	.414	0.0	0.1	.000	3.0	7.1	.418	.414	1.5	2.0	.746	0.7	2.2	3.0	5.0	1.1	0.4	2.5	2.7	7.4	Shaun Livingston
46	2005-06	20	LAC	NBA	PG	61	14	25.0	2.4	5.7	.427	0.0	0.1	.125	2.4	5.6	.434	.428	0.9	1.3	.688	0.7	2.3	3.0	4.5	0.8	0.5	1.8	2.6	5.8	Shaun Livingston
47	2006-07	21	LAC	NBA	PG	54	31	29.8	3.9	8.3	.463	0.1	0.3	.313	3.8	8.0	.469	.469	1.5	2.1	.707	1.0	2.4	3.4	5.1	1.1	0.5	2.0	2.5	9.3	Shaun Livingston
48	2007-08	22	Did Not Play (injury—knee)																												Shaun Livingston
49	2008-09	23	TOT	NBA	PG	12	1	19.3	2.6	5.0	.517	0.0	0.0		2.6	5.0	.517	.517	0.8	0.8	.900	0.3	2.1	2.3	1.7	0.6	0.2	0.8	1.0	5.9	Shaun Livingston
50	2008-09	23	MIA	NBA	PG	4	0	10.3	0.8	2.0	.375	0.0	0.0		0.8	2.0	.375	.375	0.8	1.0	.750	0.0	0.5	0.5	1.0	0.5	0.0	0.8	1.0	2.3	Shaun Livingston
51	2008-09	23	OKC	NBA	PG	8	1	23.8	3.5	6.5	.538	0.0	0.0		3.5	6.5	.538	.538	0.8	0.8	1.000	0.4	2.9	3.3	2.0	0.6	0.3	0.8	1.0	7.8	Shaun Livingston
52	2009-10	24	TOT	NBA	PG	36	18	22.1	2.9	5.6	.517	0.0	0.2	.000	2.9	5.4	.533	.517	1.2	1.3	.875	0.4	1.7	2.2	3.6	0.5	0.3	1.6	1.7	6.9	Shaun Livingston
53	2009-10	24	OKC	NBA	PG	10	0	13.0	0.5	1.6	.313	0.0	0.2	.000	0.5	1.4	.357	.313	0.0	0.0		0.4	1.6	2.0	1.4	0.5	0.2	0.8	0.9	1.0	Shaun Livingston
54	2009-10	24	WAS	NBA	PG	26	18	25.6	3.8	7.1	.535	0.0	0.2	.000	3.8	7.0	.547	.535	1.6	1.8	.875	0.5	1.8	2.2	4.5	0.5	0.3	1.9	2.0	9.2	Shaun Livingston
55	2010-11	25	CHA	NBA	PG	73	0	17.3	2.5	5.4	.466	0.0	0.1	.250	2.5	5.4	.468	.467	1.5	1.7	.864	0.4	1.6	2.0	2.2	0.6	0.4	1.2	1.5	6.6	Shaun Livingston
